2024-11-19 11:12:04 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:12:03 | Carga: 0.5658612847328186% | Memoria: 2761MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:12:14 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:12:13 | Carga: 0% | Memoria: 2782MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:12:24 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:12:23 | Carga: 0.9059334397315979% | Memoria: 2785MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:12:34 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:12:33 | Carga: 5.1865496635437012% | Memoria: 2780MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:12:44 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:12:43 | Carga: 0% | Memoria: 2779MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:12:54 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:12:53 | Carga: 0% | Memoria: 2778MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:13:04 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:13:03 | Carga: 0.60099709033966064% | Memoria: 2786MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:13:14 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:13:13 | Carga: 0.32023122906684875% | Memoria: 2784MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:13:24 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:13:23 | Carga: 1.2254852056503296% | Memoria: 2775MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:13:34 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:13:33 | Carga: 0.84308290481567383% | Memoria: 2769MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:13:44 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:13:43 | Carga: 0.48687905073165894% | Memoria: 2761MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:13:54 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:13:53 | Carga: 1.2535951137542725% | Memoria: 2761MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:14:04 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:14:03 | Carga: 0.78361862897872925% | Memoria: 2762MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:14:14 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:14:13 | Carga: 0.2181231826543808% | Memoria: 2757MB | Battery %: 100.0 | Status:  | 
